PR number,open,close,days_to_close
56104,2023-03-22T12:06:29.000Z,2023-03-23T08:43:57.000Z,0.8593518518518518
56101,2023-03-22T11:46:45.000Z,null,null
56100,2023-03-22T11:34:15.000Z,2023-03-22T20:20:23.000Z,0.36537037037037035
56099,2023-03-22T11:32:47.000Z,2023-03-22T12:35:52.000Z,0.04380787037037037
56098,2023-03-22T11:29:50.000Z,2023-03-22T20:20:13.000Z,0.36832175925925925
56097,2023-03-22T11:21:26.000Z,null,null
56095,2023-03-22T10:48:59.000Z,2023-03-24T08:04:50.000Z,1.8860069444444445
56094,2023-03-22T10:37:37.000Z,2023-03-28T07:57:29.000Z,5.930462962962963
56093,2023-03-22T10:33:34.000Z,null,null
56090,2023-03-22T10:02:17.000Z,2023-03-22T20:20:04.000Z,0.4290162037037037
56089,2023-03-22T10:01:13.000Z,null,null
56088,2023-03-22T09:56:31.000Z,2023-03-22T11:32:36.000Z,0.06672453703703704
56087,2023-03-22T09:52:08.000Z,2023-03-22T12:52:07.000Z,0.12498842592592592
56085,2023-03-22T09:33:57.000Z,2023-03-27T07:50:10.000Z,4.969594907407408
56084,2023-03-22T09:25:24.000Z,2023-03-22T12:10:54.000Z,0.11493055555555555
56083,2023-03-22T09:06:46.000Z,2023-03-22T10:54:01.000Z,0.07447916666666667
56081,2023-03-22T09:03:42.000Z,2023-03-23T08:56:08.000Z,0.9947453703703704
56080,2023-03-22T08:59:55.000Z,2023-03-28T16:30:38.000Z,6.354664351851852
56079,2023-03-22T08:59:51.000Z,2023-03-27T13:18:27.000Z,5.22125
56078,2023-03-22T08:42:34.000Z,2023-03-27T22:15:16.000Z,5.606041666666667
56077,2023-03-22T08:18:49.000Z,null,null
56076,2023-03-22T08:00:45.000Z,2023-03-22T12:51:59.000Z,0.20224537037037038
56075,2023-03-22T07:11:46.000Z,2023-03-29T12:34:48.000Z,7.26599537037037
56074,2023-03-22T04:03:04.000Z,null,null
56073,2023-03-21T23:13:29.000Z,2023-03-22T09:03:58.000Z,0.4100578703703704
56069,2023-03-21T20:13:09.000Z,2023-03-22T08:58:53.000Z,0.5317592592592593
56066,2023-03-21T18:17:19.000Z,null,null
56065,2023-03-21T18:14:23.000Z,2023-03-21T18:15:41.000Z,0.0009027777777777777
56064,2023-03-21T18:14:22.000Z,2023-03-21T18:15:27.000Z,0.0007523148148148148
56063,2023-03-21T18:14:22.000Z,2023-03-21T18:15:14.000Z,0.0006018518518518519
56062,2023-03-21T18:07:54.000Z,2023-03-21T18:09:00.000Z,0.0007638888888888889
56061,2023-03-21T18:04:35.000Z,2023-03-21T18:05:01.000Z,0.00030092592592592595
56060,2023-03-21T18:02:25.000Z,2023-03-21T19:43:37.000Z,0.07027777777777777
56059,2023-03-21T18:01:48.000Z,2023-03-21T18:02:13.000Z,0.00028935185185185184
56058,2023-03-21T17:59:00.000Z,2023-03-21T17:59:28.000Z,0.00032407407407407406
56057,2023-03-21T17:53:58.000Z,2023-03-21T17:54:29.000Z,0.0003587962962962963
56056,2023-03-21T17:53:17.000Z,2023-03-21T17:54:04.000Z,0.0005439814814814814
56052,2023-03-21T17:50:02.000Z,2023-03-21T17:51:09.000Z,0.0007754629629629629
56047,2023-03-21T17:47:30.000Z,2023-03-21T17:49:04.000Z,0.0010879629629629629
56046,2023-03-21T17:37:48.000Z,null,null
56045,2023-03-21T17:37:12.000Z,null,null
56044,2023-03-21T17:34:23.000Z,null,null
56043,2023-03-21T17:29:35.000Z,null,null
56041,2023-03-21T16:07:41.000Z,null,null
56040,2023-03-21T16:07:23.000Z,null,null
56039,2023-03-21T15:53:59.000Z,null,null
56038,2023-03-21T15:49:50.000Z,null,null
56037,2023-03-21T15:42:35.000Z,null,null
56036,2023-03-21T15:27:32.000Z,2023-03-22T08:35:02.000Z,0.7135416666666666
56035,2023-03-21T15:16:36.000Z,2023-03-22T08:34:53.000Z,0.7210300925925925
56034,2023-03-21T14:59:32.000Z,null,null
56033,2023-03-21T14:50:11.000Z,2023-03-23T08:40:12.000Z,1.7430671296296296
56032,2023-03-21T14:13:13.000Z,2023-03-21T14:34:53.000Z,0.015046296296296295
56031,2023-03-21T13:56:58.000Z,2023-03-29T09:31:20.000Z,7.8571990740740745
56030,2023-03-21T13:55:45.000Z,2023-03-28T07:23:48.000Z,6.769479166666667
56029,2023-03-21T13:41:10.000Z,2023-03-23T09:30:51.000Z,1.8261689814814814
56027,2023-03-21T13:23:22.000Z,2023-03-21T18:17:53.000Z,0.20452546296296295
56026,2023-03-21T13:01:21.000Z,null,null
56025,2023-03-21T12:31:44.000Z,2023-03-21T13:06:11.000Z,0.02392361111111111
56022,2023-03-21T11:56:05.000Z,2023-03-21T13:59:10.000Z,0.08547453703703704
56021,2023-03-21T11:47:37.000Z,2023-03-21T18:11:06.000Z,0.26630787037037035
56020,2023-03-21T10:59:24.000Z,2023-03-21T12:14:08.000Z,0.05189814814814815
56019,2023-03-21T09:23:48.000Z,2023-03-22T10:39:00.000Z,1.0522222222222222
56017,2023-03-21T08:22:40.000Z,2023-03-22T08:34:43.000Z,1.0083680555555556
56016,2023-03-21T08:20:05.000Z,2023-03-21T13:31:25.000Z,0.2162037037037037
56014,2023-03-21T04:46:14.000Z,2023-03-24T08:05:29.000Z,3.1383680555555555
56010,2023-03-20T21:36:45.000Z,null,null
56007,2023-03-20T19:03:53.000Z,2023-03-22T08:34:34.000Z,1.562974537037037
56005,2023-03-20T18:43:38.000Z,null,null
56004,2023-03-20T17:20:25.000Z,2023-03-21T08:38:26.000Z,0.6375115740740741
56002,2023-03-20T15:08:54.000Z,2023-03-21T17:50:09.000Z,1.1119791666666667
56001,2023-03-20T14:57:53.000Z,2023-03-22T08:34:24.000Z,1.7336921296296297
56000,2023-03-20T14:29:21.000Z,2023-03-21T08:33:58.000Z,0.7532060185185185
55999,2023-03-20T14:13:06.000Z,2023-03-22T10:12:22.000Z,1.832824074074074
55998,2023-03-20T13:49:42.000Z,2023-03-21T13:49:35.000Z,0.9999189814814815
55997,2023-03-20T13:46:46.000Z,null,null
55995,2023-03-20T13:39:51.000Z,2023-03-21T08:38:17.000Z,0.7905787037037038
55994,2023-03-20T13:33:24.000Z,2023-03-22T08:58:15.000Z,1.808923611111111
55993,2023-03-20T12:59:01.000Z,2023-03-30T07:50:56.000Z,9.827719907407408
55990,2023-03-20T12:34:00.000Z,2023-03-21T18:00:11.000Z,1.2265162037037036
55989,2023-03-20T11:59:53.000Z,2023-03-22T08:34:13.000Z,1.857175925925926
55988,2023-03-20T11:29:14.000Z,2023-03-20T15:49:51.000Z,0.1809837962962963
55986,2023-03-20T11:14:40.000Z,null,null
55985,2023-03-20T11:08:01.000Z,2023-03-20T14:02:51.000Z,0.12141203703703704
55984,2023-03-20T11:03:48.000Z,2023-03-22T13:09:04.000Z,2.086990740740741
55983,2023-03-20T10:43:19.000Z,null,null
55981,2023-03-20T09:45:47.000Z,2023-03-20T14:02:33.000Z,0.17831018518518518
55980,2023-03-20T09:43:14.000Z,2023-03-20T14:02:03.000Z,0.1797337962962963
55979,2023-03-20T09:31:23.000Z,null,null
55978,2023-03-20T08:50:05.000Z,null,null
55976,2023-03-20T08:37:20.000Z,null,null
55975,2023-03-20T08:33:36.000Z,2023-03-29T08:04:51.000Z,9.02170138888889
55973,2023-03-20T08:15:46.000Z,2023-03-20T10:53:25.000Z,0.10947916666666667
55969,2023-03-20T05:12:58.000Z,2023-03-20T08:54:35.000Z,0.15390046296296298
55968,2023-03-20T03:22:44.000Z,null,null
55967,2023-03-19T21:35:45.000Z,2023-03-20T19:56:19.000Z,0.9309490740740741
55966,2023-03-19T21:31:02.000Z,2023-03-21T08:57:57.000Z,1.4770254629629629
55964,2023-03-19T19:38:14.000Z,2023-03-20T10:20:01.000Z,0.612349537037037
55961,2023-03-19T16:38:45.000Z,null,null
55956,2023-03-18T23:38:48.000Z,2023-03-21T07:56:42.000Z,2.345763888888889
55955,2023-03-18T19:45:40.000Z,2023-03-21T08:39:03.000Z,2.537071759259259
55954,2023-03-18T18:46:39.000Z,2023-03-18T18:53:50.000Z,0.004988425925925926
55953,2023-03-18T18:36:18.000Z,2023-03-22T10:38:52.000Z,3.6684490740740743
55952,2023-03-18T15:55:38.000Z,2023-03-20T14:01:34.000Z,1.920787037037037
55951,2023-03-18T12:15:18.000Z,null,null
55950,2023-03-18T00:16:58.000Z,null,null
55949,2023-03-18T00:04:22.000Z,2023-03-18T19:18:44.000Z,0.8016435185185186
55948,2023-03-17T22:06:08.000Z,null,null
55947,2023-03-17T21:41:52.000Z,2023-03-18T16:39:29.000Z,0.7900115740740741
55946,2023-03-17T18:55:35.000Z,null,null
55945,2023-03-17T17:11:02.000Z,2023-03-24T10:32:43.000Z,6.723391203703704
55944,2023-03-17T17:08:49.000Z,2023-03-17T21:07:06.000Z,0.16547453703703704
55943,2023-03-17T16:32:02.000Z,null,null
55942,2023-03-17T16:00:41.000Z,2023-03-20T10:19:30.000Z,2.7630671296296296
55941,2023-03-17T15:46:24.000Z,null,null
55940,2023-03-17T15:42:40.000Z,null,null
55939,2023-03-17T15:38:19.000Z,2023-03-20T12:17:44.000Z,2.8607060185185187
55938,2023-03-17T15:29:18.000Z,2023-03-20T12:38:24.000Z,2.8813194444444443
55937,2023-03-17T15:06:49.000Z,null,null
55936,2023-03-17T15:03:25.000Z,2023-03-20T12:38:33.000Z,2.899398148148148
55935,2023-03-17T14:51:14.000Z,null,null
55934,2023-03-17T14:40:43.000Z,2023-03-17T18:59:50.000Z,0.17994212962962963
55933,2023-03-17T14:19:09.000Z,2023-03-21T12:39:34.000Z,3.9308449074074074
55932,2023-03-17T14:03:11.000Z,2023-03-20T08:53:59.000Z,2.785277777777778
55930,2023-03-17T13:48:44.000Z,2023-03-21T13:09:56.000Z,3.9730555555555553
55929,2023-03-17T13:28:08.000Z,2023-03-20T10:00:00.000Z,2.855462962962963
55928,2023-03-17T13:17:33.000Z,null,null
55927,2023-03-17T13:09:17.000Z,2023-03-20T09:18:33.000Z,2.8397685185185186
55926,2023-03-17T12:41:42.000Z,2023-03-21T08:37:40.000Z,3.830532407407407
55925,2023-03-17T12:34:31.000Z,2023-03-20T08:53:50.000Z,2.846747685185185
55924,2023-03-17T12:29:13.000Z,2023-03-17T14:36:37.000Z,0.08847222222222222
55923,2023-03-17T12:01:41.000Z,null,null
55922,2023-03-17T11:39:51.000Z,2023-03-27T07:50:25.000Z,9.882337962962962
55921,2023-03-17T11:23:29.000Z,null,null
55920,2023-03-17T11:19:33.000Z,2023-03-17T12:08:16.000Z,0.03383101851851852
55918,2023-03-17T11:11:00.000Z,2023-03-21T18:10:42.000Z,4.291458333333333
55917,2023-03-17T10:53:19.000Z,2023-03-29T16:21:14.000Z,12.269386574074074
55916,2023-03-17T10:26:05.000Z,2023-03-23T08:40:35.000Z,5.926736111111111
55914,2023-03-17T10:00:53.000Z,2023-03-24T17:36:06.000Z,7.316122685185185
55911,2023-03-17T09:52:02.000Z,2023-03-17T13:18:49.000Z,0.14359953703703704
55910,2023-03-17T09:49:02.000Z,2023-03-28T13:07:34.000Z,11.179537037037036
55909,2023-03-17T09:40:19.000Z,2023-03-17T18:17:09.000Z,0.35891203703703706
55908,2023-03-17T09:17:04.000Z,2023-03-20T12:57:38.000Z,3.1531712962962963
55907,2023-03-17T08:57:26.000Z,2023-03-17T13:18:58.000Z,0.18162037037037038
55905,2023-03-17T08:50:33.000Z,2023-03-20T10:43:38.000Z,3.0785300925925925
55904,2023-03-17T08:47:59.000Z,2023-03-23T14:43:30.000Z,6.246886574074074
55903,2023-03-17T08:46:37.000Z,2023-03-20T09:47:34.000Z,3.0423263888888887
55902,2023-03-17T08:39:13.000Z,2023-03-21T18:10:13.000Z,4.396527777777778
55899,2023-03-17T07:08:37.000Z,null,null
55898,2023-03-17T06:38:55.000Z,2023-03-20T15:59:41.000Z,3.3894212962962964
55897,2023-03-17T06:25:03.000Z,2023-03-17T08:27:41.000Z,0.08516203703703704
55896,2023-03-17T05:35:02.000Z,2023-03-18T04:01:51.000Z,0.9352893518518518
55895,2023-03-17T04:33:28.000Z,null,null
55893,2023-03-16T22:56:14.000Z,2023-03-17T08:29:19.000Z,0.39797453703703706
55891,2023-03-16T22:15:53.000Z,2023-03-17T08:29:26.000Z,0.4260763888888889
55890,2023-03-16T22:06:39.000Z,null,null
55888,2023-03-16T17:41:45.000Z,null,null
55887,2023-03-16T16:33:42.000Z,2023-03-17T08:29:40.000Z,0.6638657407407408
55886,2023-03-16T16:29:06.000Z,2023-03-20T08:53:35.000Z,3.6836689814814814
55883,2023-03-16T15:53:29.000Z,2023-03-17T08:30:02.000Z,0.6920486111111112
55882,2023-03-16T15:48:55.000Z,2023-03-17T13:19:15.000Z,0.8960648148148148
55881,2023-03-16T15:41:19.000Z,2023-03-16T19:39:22.000Z,0.1653125
55880,2023-03-16T15:25:13.000Z,2023-03-20T16:23:46.000Z,4.040659722222222
55879,2023-03-16T15:23:49.000Z,2023-03-20T09:42:47.000Z,3.763171296296296
55878,2023-03-16T15:23:39.000Z,2023-03-20T08:53:26.000Z,3.729016203703704
55877,2023-03-16T15:15:32.000Z,2023-03-16T15:42:37.000Z,0.01880787037037037
55876,2023-03-16T14:51:56.000Z,2023-03-17T18:59:29.000Z,1.1719097222222221
55875,2023-03-16T14:44:07.000Z,2023-03-16T20:42:41.000Z,0.24900462962962963
55874,2023-03-16T14:40:57.000Z,2023-03-28T13:07:52.000Z,11.977025462962963
55873,2023-03-16T14:20:19.000Z,null,null
55872,2023-03-16T14:11:18.000Z,2023-03-16T14:37:31.000Z,0.018206018518518517
55871,2023-03-16T14:04:02.000Z,null,null
55870,2023-03-16T14:02:29.000Z,2023-03-17T08:30:10.000Z,0.7692245370370371
55869,2023-03-16T13:55:00.000Z,2023-03-17T08:30:18.000Z,0.7745138888888888
55868,2023-03-16T13:19:27.000Z,2023-03-17T08:30:27.000Z,0.7993055555555556
55867,2023-03-16T13:18:17.000Z,2023-03-17T08:30:51.000Z,0.8003935185185185
55866,2023-03-16T13:14:18.000Z,2023-03-17T08:30:59.000Z,0.8032523148148148
55865,2023-03-16T13:11:52.000Z,2023-03-17T08:31:07.000Z,0.8050347222222223
55864,2023-03-16T13:09:00.000Z,2023-03-20T08:53:15.000Z,3.822395833333333
55863,2023-03-16T12:57:23.000Z,2023-03-16T15:42:48.000Z,0.11487268518518519
55860,2023-03-16T12:47:04.000Z,null,null
55859,2023-03-16T12:43:09.000Z,2023-03-17T09:07:15.000Z,0.8500694444444444
55857,2023-03-16T12:01:11.000Z,null,null
55856,2023-03-16T11:42:53.000Z,2023-03-22T09:58:45.000Z,5.927685185185185
55855,2023-03-16T11:40:41.000Z,2023-03-22T07:53:29.000Z,5.842222222222222
55854,2023-03-16T11:30:27.000Z,2023-03-20T10:43:50.000Z,3.967627314814815
55851,2023-03-16T11:06:21.000Z,2023-03-17T10:49:28.000Z,0.988275462962963
55848,2023-03-16T09:39:36.000Z,2023-03-17T10:45:50.000Z,1.0459953703703704
55847,2023-03-16T09:32:09.000Z,2023-03-17T13:19:43.000Z,1.1580324074074073
55846,2023-03-16T09:31:01.000Z,2023-03-16T11:55:50.000Z,0.10056712962962963
55845,2023-03-16T09:07:40.000Z,2023-03-17T15:06:19.000Z,1.2490625
55844,2023-03-16T08:59:47.000Z,2023-03-21T08:37:31.000Z,4.984537037037037
55843,2023-03-16T07:35:01.000Z,null,null
55841,2023-03-16T04:20:52.000Z,null,null
55840,2023-03-15T22:38:12.000Z,null,null
